"country","sex","age_group","age_mean","year_mean","years_post_int","outcome","mean","se","l","u"
"India","Male","65-69",67.5,27.5,"25-29 years","COPD",0.100841412709557,0.00700146854371471,0.0845944967442199,0.112750488539284
"India","Male","70-74",72.5,2.5,"0-4 years","COPD",0.0162097934514661,0.00152618580366868,0.0129161922541139,0.0189742728691357
"India","Male","70-74",72.5,7.5,"5-9 years","COPD",0.0442245451773695,0.00416383300783521,0.0352387419106804,0.051766766197316
"India","Male","70-74",72.5,12.5,"10-14 years","COPD",0.0572628573013748,0.0053914172412209,0.0456278530715981,0.0670286813311861
"India","Male","70-74",72.5,17.5,"15-19 years","COPD",0.062020079292566,0.0058393195966454,0.0494184747113924,0.0725972179340846
"India","Male","70-74",72.5,22.5,"20-24 years","COPD",0.0662487210625136,0.0062374550236894,0.0527879161689873,0.0775470282477722
"India","Male","70-74",72.5,27.5,"25-29 years","COPD",0.0673058815050006,0.0063369888804504,0.0536302765333861,0.0787844808261941
"India","Male","75-79",77.5,2.5,"0-4 years","COPD",0.0127029649978732,0.00126841167841857,0.0100432463422775,0.0151544082334602
"India","Male","75-79",77.5,7.5,"5-9 years","COPD",0.0346570023311541,0.00346055794872893,0.0274005959990398,0.0413451789847663
"India","Male","75-79",77.5,12.5,"10-14 years","COPD",0.0448746046120521,0.00448080212484822,0.0354788593613065,0.0535345943029843
"India","Male","75-79",77.5,17.5,"15-19 years","COPD",0.0486026486875149,0.00485305337829715,0.0384263338313228,0.0579820836758476
"India","Male","75-79",77.5,22.5,"20-24 years","COPD",0.0519164656434817,0.00518394338136287,0.0410463111380039,0.0619354075628372
"India","Male","75-79",77.5,27.5,"25-29 years","COPD",0.0527449198824735,0.0052666658821293,0.0417013054646741,0.0629237385345846
"India","Male","80+",84.91,2.5,"0-4 years","COPD",0.00990693001342531,0.00107084622355511,0.0077538793352717,0.0119910790423126
"India","Male","80+",84.91,7.5,"5-9 years","COPD",0.0270286894931496,0.0029215478490471,0.0211546055777522,0.032714791735005
"India","Male","80+",84.91,12.5,"10-14 years","COPD",0.0349973071126438,0.00378288068103708,0.0273914215648185,0.0423597900951261
"India","Male","80+",84.91,17.5,"15-19 years","COPD",0.0379047757035404,0.00409715076838478,0.0296670165871266,0.0458789111184135
"India","Male","80+",84.91,22.5,"20-24 years","COPD",0.0404891922287818,0.00437650195713828,0.031689767718067,0.049007018694669
"India","Male","80+",84.91,27.5,"25-29 years","COPD",0.0411352963600921,0.00444633975432666,0.0321954555008021,0.0497890455887328
"India","Male","35-39",37.5,2.5,"0-4 years","diabetes",0.00161360081454322,0.000704422556536745,0.000189571279228031,0.00295210939610598
"India","Male","35-39",37.5,7.5,"5-9 years","diabetes",0.00276843277004965,0.0012085681117052,0.000325244841812799,0.00506489357175046
"India","Male","35-39",37.5,12.5,"10-14 years","diabetes",0.00316392316577103,0.00138122069909166,0.000371708390643199,0.00578844979628624
